event_id,id,name,match_id,season,competition,team,formation
9684e340-dd29-47a8-b93b-4014236b3093,35,Starting XI,303504,2019/2020,La Liga,Levante UD,442
8db26133-aca6-495c-ac2e-7012b88c5d6c,35,Starting XI,3773387,2020/2021,La Liga,Levante UD,442
ede1f6c5-68f2-4856-a4fd-a861421a37ea,35,Starting XI,303487,2019/2020,La Liga,Celta Vigo,352
a895edcb-4e54-4132-a182-0b53411fae0e,35,Starting XI,303725,2019/2020,La Liga,Barcelona,41212
45198b66-421e-4790-b864-4627f33df7eb,36,Tactical Shift,303377,2019/2020,La Liga,Getafe,442
76f595b7-1b01-4a1e-8a02-c14052ad4dd2,36,Tactical Shift,3749133,2003/2004,Premier League,Arsenal,433
72430016-0e5f-4b77-abbd-11352f6ef332,35,Starting XI,16306,2018/2019,La Liga,Barcelona,433
14aaf3af-d212-4c38-9d1f-951b50cad37a,35,Starting XI,3749274,2003/2004,Premier League,Arsenal,442
f741c203-df2d-4bff-b6c8-c73cd379608f,35,Starting XI,3749246,2003/2004,Premier League,Manchester United,4411
9fb355ea-f045-4727-81aa-3ba0ac1e8478,35,Starting XI,3749274,2003/2004,Premier League,Portsmouth,442
99e385c1-8e34-4496-b190-aa8c4250cf05,36,Tactical Shift,16173,2018/2019,La Liga,Athletic Club,4231
9c662ea6-e7f9-49a9-8c97-974c809b7ed8,35,Starting XI,16095,2018/2019,La Liga,Barcelona,3511
7ea94dfd-7e7f-44b8-9a53-1dbc7deecfc0,35,Starting XI,16240,2018/2019,La Liga,Barcelona,433
00523e87-4db9-4ff5-a538-c7e7dc68ca73,36,Tactical Shift,16095,2018/2019,La Liga,Levante UD,4411
66e0ed7f-044a-492a-a8b7-cb86ba92c14a,35,Starting XI,303430,2019/2020,La Liga,Barcelona,433
3e53ec64-d741-4ca5-9059-85ce797b057d,35,Starting XI,303664,2019/2020,La Liga,Barcelona,433
3fddf19a-7d96-457f-ba74-11c446731b33,35,Starting XI,303664,2019/2020,La Liga,Real Sociedad,4141
9967a021-3ac7-4243-8447-805dff410a0e,36,Tactical Shift,16073,2018/2019,La Liga,Barcelona,442
298c5245-2362-486c-ac93-dbb1611b75b2,35,Starting XI,3749346,2003/2004,Premier League,Leeds United,442
07a3ee14-8122-4cfa-90cc-c7e6a5476ab3,35,Starting XI,303596,2019/2020,La Liga,Real Madrid,41212
a683273f-fdc3-4d25-9243-b33fa50d2dfb,35,Starting XI,303451,2019/2020,La Liga,Mallorca,442
28dead8d-fd03-4ed3-9318-b3c7d6e38e5f,36,Tactical Shift,16029,2018/2019,La Liga,Sevilla,32122
8ee1ec19-067a-47cf-bb30-a83e2de1c5d5,35,Starting XI,16190,2018/2019,La Liga,Barcelona,41221
a047beea-0513-4af6-a234-ce08f0f46a5f,36,Tactical Shift,16149,2018/2019,La Liga,Girona,41212
58310656-5008-4320-be81-2bc3f00b45da,35,Starting XI,303421,2019/2020,La Liga,Deportivo Alavés,442
e9f48bc8-32f9-407d-8109-4f73b735bd1d,35,Starting XI,16265,2018/2019,La Liga,Barcelona,433
76ca3a40-565f-410f-8073-946fc0e5d244,36,Tactical Shift,303615,2019/2020,La Liga,Barcelona,41212
eb724d72-2136-41b0-9534-82b12232d7be,36,Tactical Shift,3749493,2003/2004,Premier League,Arsenal,442
a57472ff-3b0d-4bee-a6a0-7a5069302d22,35,Starting XI,16010,2018/2019,La Liga,Barcelona,433
d8c32d32-494b-4ae1-bb0c-d2f738952e3c,35,Starting XI,3749257,2003/2004,Premier League,Leicester City,442
8147170f-da1a-4299-8b23-c435d578b921,36,Tactical Shift,16190,2018/2019,La Liga,Sevilla,3421
37484cd8-be4f-4efb-b196-dbba4becb58a,35,Starting XI,3749278,2003/2004,Premier League,Arsenal,442
0832e91e-5a70-4b02-8877-505a20db069e,36,Tactical Shift,3773565,2020/2021,La Liga,Granada,4231
2d42b07b-a2dd-449d-932e-665ca5155f24,35,Starting XI,3773497,2020/2021,La Liga,Barcelona,343
ad90317e-7b7c-4a69-a0a1-6e5fea455b2d,35,Starting XI,3773474,2020/2021,La Liga,Barcelona,3421
235aa8bd-06db-417e-8e4a-14a5300131f4,35,Starting XI,16086,2018/2019,La Liga,Barcelona,41221
c0c95230-0692-484e-af44-af73b2897712,35,Starting XI,3773631,2020/2021,La Liga,Real Betis,4231
a092f074-eedb-4a41-9f6b-0b7f8c6127be,36,Tactical Shift,16131,2018/2019,La Liga,Barcelona,433
17813ca1-b402-46b2-8d98-9d5c5f1df26f,35,Starting XI,16215,2018/2019,La Liga,Barcelona,442
afa4d257-bc08-481f-ab2d-ffe890377d99,36,Tactical Shift,16196,2018/2019,La Liga,Barcelona,433
411f76a3-d763-4b92-80e0-3e40dd4227a3,36,Tactical Shift,303715,2019/2020,La Liga,Barcelona,4231
b6b1c93c-8205-4517-b1c1-7fa1e89bd2cc,36,Tactical Shift,3773387,2020/2021,La Liga,Levante UD,442
90e5633e-3e63-44bc-b34a-46f4ac8e0cdf,36,Tactical Shift,3773631,2020/2021,La Liga,Barcelona,4231
92735129-4fff-46ae-bdf9-cde84797f7be,36,Tactical Shift,16275,2018/2019,La Liga,Barcelona,433
a4de59fd-bd90-4d8e-9bda-bd6a99cfecff,36,Tactical Shift,3749346,2003/2004,Premier League,Arsenal,442
83881f10-3de1-451d-a3c3-968fc7e9b0ed,36,Tactical Shift,16173,2018/2019,La Liga,Athletic Club,4231
7cea7d7f-7c53-4a71-90ec-b8cac7f417a8,36,Tactical Shift,16306,2018/2019,La Liga,Barcelona,442
2c270a13-9592-4d06-b5a3-68ac56cae065,36,Tactical Shift,3773586,2020/2021,La Liga,Barcelona,4141
396bee1d-8571-4074-9dca-f933ec47679e,36,Tactical Shift,16265,2018/2019,La Liga,Real Sociedad,433
fa323f55-2b2c-4c2e-84e2-21efe0d60dca,35,Starting XI,303400,2019/2020,La Liga,Barcelona,352
5c4966d5-1e26-455d-b85b-8fe05686e777,35,Starting XI,303400,2019/2020,La Liga,Valencia,442
41324c0b-7147-499f-a4a5-0c27ca9eb4dd,35,Starting XI,3773586,2020/2021,La Liga,Granada,343
428373db-c403-4802-80c4-caaee82cb08c,36,Tactical Shift,15956,2018/2019,La Liga,Real Valladolid,442
7e642c09-b07a-47ae-892e-b55df07d4c18,35,Starting XI,3773586,2020/2021,La Liga,Barcelona,352
2bb933a9-8a0b-4cbf-8c8c-fa40816ed359,35,Starting XI,15956,2018/2019,La Liga,Real Valladolid,41212
4ebf0c8d-a456-4d27-90ac-e5c57ee8858d,36,Tactical Shift,16190,2018/2019,La Liga,Barcelona,4231
a0e4160a-e3b4-462a-9f27-36e81ca877a5,35,Starting XI,3773377,2020/2021,La Liga,Barcelona,4141
a1af69b2-5f1e-41c8-929b-446dc3ad4264,35,Starting XI,3773377,2020/2021,La Liga,Valencia,442
de57ef12-2d52-469f-a7ba-8e34f5e72b18,35,Starting XI,3749153,2003/2004,Premier League,Middlesbrough,442
17ec256b-abd2-4c9f-986b-e4c9c05264b6,36,Tactical Shift,3773587,2020/2021,La Liga,Barcelona,4231
050cd9a8-7ede-4f9d-806d-cd76352c0403,36,Tactical Shift,3773466,2020/2021,La Liga,Barcelona,4231
