name,id,jersey,team,country
Matías Ezequiel Vargas Martín,30421,22,Espanyol,Argentina
José Antonio Rodríguez Díaz,24126,10,Granada,Spain
Aaron Lennon,3953,25,Leeds United,England
Brett Emerton,40357,0,Blackburn Rovers,Australia
Francesc Aday Benítez Caraballo,6578,11,Girona,Spain
Paul Butler,40312,6,Wolverhampton Wanderers,England
Matthew Kilgallon,3793,36,Leeds United,England
Francisco Portillo Soler,6873,8,Getafe,Spain
Víctor Camarasa Ferrando,6659,10,Deportivo Alavés,Spain
Nikola Kalinić,7033,9,Atlético Madrid,Croatia
Liam Ridgewell,13439,24,Aston Villa,England
Bryan Hughes,40294,0,Birmingham City,England
Rory Delap,40435,18,Southampton,Ireland
Lucas René Olaza Catrofe,24730,15,Celta Vigo,Uruguay
Kang-In Lee,22740,20,Valencia,Korea (South)
Paul Robinson,40132,1,Leeds United,England
Santiago Comesaña Veiga,12194,27,Rayo Vallecano,Spain
Ivan Rakitić,5470,4,Barcelona,Croatia
Francis Jeffers,375067,11,Everton,England
Juan Carlos Real Ruiz,24055,21,Huesca,Spain
José Manuel Fontán Mondragón,35000,31,Celta Vigo,Spain
Raphael Dwamena,11305,20,Levante UD,Ghana
Cristian Tello Herrera,6658,11,Real Betis,Spain
Xabier Etxeita Gorritxategi,6788,3,Huesca,Spain
Richard Duffy,9791,31,Portsmouth,Wales
Sabin Merino Zuloaga,6666,18,Leganés,Spain
Šime Vrsaljko,5461,24,Atlético Madrid,Croatia
Boudewijn Zenden,17793,27,Middlesbrough,Netherlands
Pervis Josué Estupiñán Tenorio,24085,30,Osasuna,Ecuador
Iñaki Álvarez Goñi,41573,26,Osasuna,Spain
Oliver Burke,3513,24,Deportivo Alavés,Scotland
Roberto Suárez Pier,6807,4,Levante UD,Spain
Paul Bosvelt,19636,0,Manchester City,Netherlands
Trésor Lomana LuaLua,376518,32,Portsmouth,"Congo, (Kinshasa)"
Víctor Gómez Perea,32670,34,Espanyol,Spain
Alejandro Baena Rodríguez,41115,32,Villarreal,Spain
Martin Andresen,40397,25,Blackburn Rovers,Norway
Isaac Carcelén Valencia,24322,20,Cádiz,Spain
Marc Bartra Aregall,7068,5,Real Betis,Spain
Olivier Tébily,40400,26,Birmingham City,Côte d'Ivoire
Clinton Morrison,40291,0,Birmingham City,Ireland
James Philip Milner,3473,38,Leeds United,England
Lucas Vázquez Iglesias,5200,17,Real Madrid,Spain
Joseph Phillip Yobo,40288,0,Everton,Nigeria
Mauricio Taricco,40275,3,Tottenham Hotspur,Argentina
Denis Vavro,16298,25,Huesca,Slovakia
Nicolás Melamed Ribaudo,41456,33,Espanyol,Spain
Serdar Gürler,12554,21,Huesca,Turkey
Rubén Iván Martínez Andrade,6730,13,Osasuna,Spain
Simon Johnson,40372,39,Leeds United,England
Martín Zubimendi Ibáñez,24921,36,Real Sociedad,Spain
Erick Cathriel Cabaco Almada,6809,18,Levante UD,Uruguay
Kenny Cunningham,40296,0,Birmingham City,Ireland
Miguel Ángel Guerrero Martín,6602,9,Leganés,Spain
Darren Anderton,15411,7,Tottenham Hotspur,England
Aitor Fernández Abarisketa,23344,25,Levante UD,Spain
Gustavo Augusto Poyet Domínguez,40276,14,Tottenham Hotspur,Uruguay
Emiliano Daniel Velázquez Maldonado,17054,20,Rayo Vallecano,Uruguay
Mikael Forssell,40301,0,Birmingham City,Finland
Andy Cole,24767,9,Blackburn Rovers,England
Enis Bardhi,6782,10,Levante UD,"Macedonia, Republic of"
Jordi Amat Maas,6652,16,Rayo Vallecano,Spain
Fredrik Ljungberg,15754,8,Arsenal,Sweden
