event_id,id,name,match_id,season,competition,team,player,deflection,offensive,save
dad08ff1-d3aa-40b8-8b50-bd4bc4d90d11,6,Block,303707,2019/2020,La Liga,Real Betis,Lorenzo Jesús Morón García,False,False,False
ec2015da-ee4f-470b-a600-d0d84a08d244,6,Block,3773403,2020/2021,La Liga,Athletic Club,Íñigo Martínez Berridi,False,False,False
521dae6e-68d4-4b12-89c2-894eddeea09e,6,Block,3773656,2020/2021,La Liga,Atlético Madrid,Jorge Resurrección Merodio,False,False,False
70a78293-c53a-41c3-9806-876bf95b7e79,6,Block,3773597,2020/2021,La Liga,Real Sociedad,Martín Zubimendi Ibáñez,False,False,False
cf8baf67-6db6-4781-b7ed-e241c9010ba6,6,Block,3773587,2020/2021,La Liga,Barcelona,Clément Lenglet,False,False,False
13b8c9a8-52d4-4ba3-a29c-40909d14be58,6,Block,3773656,2020/2021,La Liga,Barcelona,Ousmane Dembélé,False,False,False
86a91b63-6675-4cb7-a496-9d4011ed055a,6,Block,3773369,2020/2021,La Liga,Huesca,Rafael Mir Vicente,False,False,False
f56dea84-b7f2-4856-9737-e0bfc18dfba2,6,Block,3749192,2003/2004,Premier League,Fulham,Lee Clark,False,False,False
6efed733-d5a4-42e9-90ba-2847143ff3c3,6,Block,16196,2018/2019,La Liga,Real Madrid,Daniel Carvajal Ramos,False,False,False
73e22795-6bfe-4a45-9ea7-46fbb20d1ce1,6,Block,3749346,2003/2004,Premier League,Arsenal,Dennis Bergkamp,False,False,False
3d0a7ff6-6d1c-4049-9dba-a01de8c63c61,6,Block,16136,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False,False
bcd340a9-0487-4c35-be66-5efac3370ab1,6,Block,15978,2018/2019,La Liga,Real Sociedad,Asier Illarramendi Andonegi,False,False,False
778427e6-36c1-424c-922c-3211ac22880d,6,Block,16196,2018/2019,La Liga,Barcelona,Sergi Roberto Carnicer,False,False,False
8e7eb402-ef55-4f12-82e9-dbdfae593f34,6,Block,3773477,2020/2021,La Liga,Real Betis,Joaquín Sánchez Rodríguez,False,False,False
5d7c166b-2a22-4102-96bd-c78cbd78fb7a,6,Block,16029,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,False,False,False
aaad1332-1a72-4bf7-a5e4-47da7b2d8d91,6,Block,16190,2018/2019,La Liga,Sevilla,Marko Rog,False,False,False
3adb6b3c-a756-49bd-a18d-5e872f168916,6,Block,3749233,2003/2004,Premier League,Arsenal,Eduardo César Daude Gaspar,False,False,False
5b80fcd6-cde4-499d-adde-8ad59800043b,6,Block,3773597,2020/2021,La Liga,Barcelona,Sergino Dest,False,False,False
ccf47313-1fe2-4bcc-91f4-649a9250d659,6,Block,3749642,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,False,False,False
846e6e3d-8894-43d6-86d1-b0444e230082,6,Block,3749233,2003/2004,Premier League,Manchester City,Jihai Sun,False,False,False
0004d1e4-4d88-4636-ac78-bc480d026a7f,6,Block,3749642,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer,False,False,False
168a6b6d-5e2e-4422-8b1f-849afe0c1dff,6,Block,16215,2018/2019,La Liga,Real Betis,Giovani Lo Celso,False,False,False
dd404528-a159-46c0-82fa-b6509838c52f,6,Block,16190,2018/2019,La Liga,Sevilla,Quincy Anton Promes,True,False,False
fac2dccb-fed3-4d6e-ac88-5d9592b17201,6,Block,3749346,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer,False,False,False
191acbc5-1e8c-45f5-8beb-1f33a6f91d7d,6,Block,3773689,2020/2021,La Liga,Barcelona,Moriba Kourouma Kourouma,False,False,False
416cabc5-5979-4e07-81d3-7dc47123c58b,6,Block,3749192,2003/2004,Premier League,Fulham,Zat Knight,False,False,False
402d1696-7824-482b-97e7-f429605e6b55,6,Block,3749192,2003/2004,Premier League,Arsenal,Ashley Cole,False,False,False
aa26a29b-6d27-4720-a4c3-d0b21e99ba20,6,Block,303700,2019/2020,La Liga,Eibar,Papa Kouly Diop,False,False,False
fbbd97b9-4e24-4580-98b6-a5703800cd11,6,Block,3749253,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,False,False,False
11be6e57-c94e-4d72-b6bf-279d7c955fef,6,Block,3749192,2003/2004,Premier League,Arsenal,Eduardo César Daude Gaspar,False,True,False
c8f02854-e674-47da-884a-e01939470339,6,Block,3773477,2020/2021,La Liga,Real Betis,Guido Rodríguez,False,False,False
413a283c-f7cd-41e9-9046-3613847193df,6,Block,3749233,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,False,False,False
2e9fe903-90ab-45fd-a97b-d63c69082161,6,Block,16196,2018/2019,La Liga,Real Madrid,Carlos Henrique Casimiro,False,False,False
222e6810-1a74-44fa-9be6-043695138dcb,6,Block,3749448,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer,False,False,False
d676c38c-16f7-4706-aa8c-f34f5a6e9f08,6,Block,3749233,2003/2004,Premier League,Manchester City,Richard Dunne,False,False,False
5f064f72-a204-4601-b0d2-e9a8df4edf00,6,Block,3773369,2020/2021,La Liga,Huesca,Pablo Maffeo Becerra,False,False,False
7651f191-b31a-4775-8578-da91cbc0292e,6,Block,3773523,2020/2021,La Liga,Barcelona,Sergino Dest,False,False,False
78b7981e-5fb2-4b44-9a93-c1883beecfed,6,Block,3773565,2020/2021,La Liga,Barcelona,Antoine Griezmann,False,False,False
678dfa0a-ad89-411b-bb25-b3521b715546,6,Block,16205,2018/2019,La Liga,Barcelona,Sergio Busquets i Burgos,False,False,False
bf3bc3b8-4407-48b6-b0b5-2bcc96102570,6,Block,303680,2019/2020,La Liga,Real Valladolid,Joaquín Fernández Moreno,False,False,False
18d20b60-02c9-4d82-bf52-a12341b7c14f,6,Block,303493,2019/2020,La Liga,Barcelona,Antoine Griezmann,False,False,False
d394deec-b4af-4a60-9878-484bdb747fff,6,Block,3773526,2020/2021,La Liga,Deportivo Alavés,Iñigo Córdoba Kerejeta,False,False,False
599c0cad-79c0-47f1-a4f1-6d598dbd98f1,6,Block,3749454,2003/2004,Premier League,Manchester City,David Sommeil,False,False,False
58a17e26-8164-45e5-be41-4fadea8beabe,6,Block,3749493,2003/2004,Premier League,Everton,Thomas Gravesen,False,False,False
661817c2-a912-494f-a600-e69bb4c1990c,6,Block,3773665,2020/2021,La Liga,Osasuna,Ante Budimir,False,False,False
554e3e4f-ac5f-4598-8dcf-44f15f2827b7,6,Block,3749296,2003/2004,Premier League,Portsmouth,Amdy Moustapha Faye,False,False,False
8a6bfdbe-77c1-49f1-a320-9975dcb14cec,6,Block,303680,2019/2020,La Liga,Barcelona,Ricard Puig Martí,False,False,False
27c507d1-2000-4b34-8469-ddc2b030a686,6,Block,16205,2018/2019,La Liga,Rayo Vallecano,Gilbert Gianelli Imbula Wanga,False,True,False
92f93615-af95-410a-bf87-ea0bd2186437,6,Block,3749274,2003/2004,Premier League,Portsmouth,Dejan Stefanovic,False,False,False
3300ab7c-c082-445d-a9c5-71d2020c8fb5,6,Block,3749079,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,False,False,False
4df9ccd9-94b6-4464-a9d6-50f5482921ff,6,Block,16023,2018/2019,La Liga,Valencia,Kevin Gameiro,False,False,False
a90771ea-2820-48f7-879f-908c92072241,6,Block,3749052,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,False,False,False
32a50589-3b79-4b70-9d51-89c06a76a586,6,Block,303725,2019/2020,La Liga,Barcelona,Sergi Roberto Carnicer,False,False,False
b732a981-09d7-4d65-8cc1-4627299c9695,6,Block,3764661,2020/2021,La Liga,Athletic Club,Unai Núñez Gestoso,False,False,False
03ef98c8-63f2-4fa9-bf56-1b6c3e8e7bac,6,Block,16023,2018/2019,La Liga,Valencia,Carlos Soler Barragán,False,False,False
42f79b52-af9d-4ad3-8ad1-5789d836deca,6,Block,15978,2018/2019,La Liga,Barcelona,Sergi Roberto Carnicer,False,False,False
48b509f3-229b-4170-bfb3-0bbb9de3a2bb,6,Block,3773587,2020/2021,La Liga,Barcelona,Gerard Piqué Bernabéu,False,False,False
70560d19-4fab-46dd-bb4c-369e4c61ece0,6,Block,303493,2019/2020,La Liga,Athletic Club,Raúl García Escudero,False,False,False
7407f275-fea7-43a9-80d0-d6857ef0ade9,6,Block,3773660,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,False,False,False
57b1c103-3d77-4001-8b10-134ea2ee4e8f,6,Block,3749276,2003/2004,Premier League,Chelsea,Claude Makélélé,False,False,False
777296ee-b637-499c-a993-f4342d7ee14d,6,Block,3749276,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,False,False,False
20614e13-2cad-4fcb-9958-a284d10de3aa,6,Block,16029,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,False,False
1f7b31ef-ea9b-43f4-86f1-ff60ce5e3a75,6,Block,3773415,2020/2021,La Liga,Cádiz,Rubén Sobrino Pozuelo,False,False,False
b4e7b56c-dd7e-41c0-868b-b138d9eaeb3b,6,Block,3773665,2020/2021,La Liga,Barcelona,Óscar Mingueza García,False,False,False
1b9412b5-4df2-4962-a85f-8e83c4892fac,6,Block,303532,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
9c30d94e-4d87-45b0-b1a2-7e0a34b22109,6,Block,3773403,2020/2021,La Liga,Athletic Club,Íñigo Martínez Berridi,False,False,False
397f12c3-7601-4676-aa39-295778da4adb,6,Block,3773661,2020/2021,La Liga,Getafe,Takefusa Kubo,False,False,False
64ff9a38-17ed-49b2-8018-d57121f6208f,6,Block,3773386,2020/2021,La Liga,Deportivo Alavés,Tomás Pina Isla,False,False,False
b3f8629c-09d5-48ed-a807-35d0657f6306,6,Block,3749528,2003/2004,Premier League,Arsenal,Sylvain Wiltord,False,False,False
5fedca12-e4fa-4d4e-9080-7747af58e4dd,6,Block,16182,2018/2019,La Liga,Real Valladolid,Joaquín Fernández Moreno,False,False,False
9e108ea3-5c6f-4443-bfa6-cc333c29c7bb,6,Block,3749278,2003/2004,Premier League,Arsenal,Pascal Cygan,False,False,False
e90d80f3-7575-4116-a78b-32d141a58901,6,Block,16023,2018/2019,La Liga,Valencia,Cristiano Piccini,False,False,False
8a981e8d-a03e-498b-aa1b-88f5458afc56,6,Block,16023,2018/2019,La Liga,Barcelona,Gerard Piqué Bernabéu,False,False,False
86eafa11-6e15-4ead-8a38-e05a8733af64,6,Block,3749276,2003/2004,Premier League,Arsenal,Dennis Bergkamp,False,False,False
130ad636-0b0d-499e-84ae-e0baefce2a7a,6,Block,3749522,2003/2004,Premier League,Arsenal,Kolo Habib Touré,False,False,False
37f6d897-3b31-42b3-9427-4abc788f3177,6,Block,16173,2018/2019,La Liga,Athletic Club,Beñat Etxebarria Urkiaga,False,False,False
5729a66a-c539-4719-a763-b8c7333bee0f,6,Block,3749246,2003/2004,Premier League,Arsenal,Robert Pirès,False,False,False
dc0433a8-5749-4777-89d7-190674f2d241,6,Block,16023,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,False,False
