event_id,id,name,match_id,season,competition,team,player,statsbomb_xg,loc_x,loc_y,loc_z,follows_dribble,first_time,open_net,deflected,technique_id,technique_name,body_id,body_name,outcome_id,outcome_name
0dbb3a95-4218-4574-9218-5a425f0e6d76,16,Shot,3773387,2020/2021,La Liga,Barcelona,Clément Lenglet,0.030152528,117.0,38.2,0.0,False,False,False,False,93,Normal,38,Left Foot,100,Saved
cbdbf3bc-3ab7-48d4-9dac-3176558dd94d,16,Shot,303615,2019/2020,La Liga,Espanyol,Sergi Darder Moll,0.055309135,108.7,40.3,,False,True,False,False,93,Normal,40,Right Foot,96,Blocked
74a627a2-679e-4fcc-9cc1-0e78bff37c2d,16,Shot,303652,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,0.009262109,114.6,46.8,,False,False,False,False,93,Normal,38,Left Foot,96,Blocked
71981985-956c-4dbc-8fff-f11a4ecffe2e,16,Shot,16131,2018/2019,La Liga,Eibar,Sergio Enrich Ametller,0.04933747,112.4,22.9,,False,True,False,False,95,Volley,40,Right Foot,101,Wayward
3af255f1-2d6c-4202-bf49-8be7713c8e0f,16,Shot,3749462,2003/2004,Premier League,Arsenal,Dennis Bergkamp,0.010500243,104.4,45.6,,False,False,False,False,93,Normal,40,Right Foot,96,Blocked
a0ab6b5d-1a45-468f-bd06-ba1a65fc6773,16,Shot,303470,2019/2020,La Liga,Real Madrid,Vinícius José Paixão de Oliveira Júnior,0.025673516,120.0,37.8,0.4,False,False,False,True,93,Normal,40,Right Foot,97,Goal
fe6d187b-1870-4110-80ba-84ac5007e1f2,16,Shot,303377,2019/2020,La Liga,Barcelona,Antoine Griezmann,0.26099047,120.0,41.3,4.4,False,True,False,False,93,Normal,40,Right Foot,98,Off T
b0b36df6-76f0-4e0c-9420-47cb2c0ca36c,16,Shot,3749526,2003/2004,Premier League,Arsenal,Dennis Bergkamp,0.02424078,117.1,42.0,1.0,False,False,False,False,93,Normal,40,Right Foot,100,Saved
e6ed74b7-0a3d-4dea-9460-8284204e259d,16,Shot,15946,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,0.33453467,115.9,34.6,0.4,False,False,False,False,93,Normal,40,Right Foot,100,Saved
94c6dce5-bae8-4f06-928c-a84a060d1580,16,Shot,3773571,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,0.19114502,106.7,45.4,0.1,False,True,False,False,95,Volley,40,Right Foot,100,Saved
11247c68-666d-41eb-81c5-fd749f72be0b,16,Shot,303666,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,0.06285644,105.1,38.3,,False,True,False,False,93,Normal,40,Right Foot,96,Blocked
aca6eac4-0a0b-450c-b2b5-3f3169ac4c2b,16,Shot,15946,2018/2019,La Liga,Barcelona,Ousmane Dembélé,0.12335509,112.5,37.2,1.1,False,True,False,False,93,Normal,40,Right Foot,100,Saved
5816637a-fa86-4481-800b-681b54fb0a4c,16,Shot,3749079,2003/2004,Premier League,Chelsea,Joe Cole,0.09705584,120.0,30.5,0.2,False,True,False,False,91,Half Volley,40,Right Foot,98,Off T
b976d724-93d2-4e5e-81ef-52f096be38b1,16,Shot,16240,2018/2019,La Liga,Villarreal,Álvaro González Soberón,0.0965725,120.0,45.8,0.6,False,False,False,False,93,Normal,37,Head,98,Off T
