event_id,id,name,match_id,season,competition,team,player,defensive,advantage,penalty
afe5070c-fd30-437f-9ebc-fe9aa458849f,21,Foul Won,3773689,2020/2021,La Liga,Barcelona,Frenkie de Jong,False,False,False
2ef3a006-ff49-4997-af2b-be19e2381650,21,Foul Won,303487,2019/2020,La Liga,Celta Vigo,Iago Aspas Juncal,False,False,False
c14c8fc5-ed11-4048-92ab-ec847078a68b,21,Foul Won,303479,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,True,False
c69aa53c-21d1-4f3b-b3fb-d02e88f647e9,21,Foul Won,3749276,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,True,False,False
455d28c8-2474-491f-90d3-465c5e58ba55,21,Foul Won,3749526,2003/2004,Premier League,Charlton Athletic,Hermann Hreidarsson,False,False,False
2475c342-fe51-40d1-b648-06331ed96d7d,21,Foul Won,3764661,2020/2021,La Liga,Barcelona,Pedro González López,True,True,False
5787c6ec-26e7-4b4d-90bb-c206021523f2,21,Foul Won,303680,2019/2020,La Liga,Real Valladolid,Sandro Ramírez Castillo,True,False,False
169e0979-6b35-43bb-9a21-febd029f6436,21,Foul Won,303731,2019/2020,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo,False,False,False
f2b5dfab-2d85-4ab5-9a9c-0e7351c8d60b,21,Foul Won,3773587,2020/2021,La Liga,Barcelona,Sergio Busquets i Burgos,False,False,False
e71e77b4-d47e-40f1-9a21-41ad60f0416f,21,Foul Won,303516,2019/2020,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False,False
c66b73bb-e931-4db3-bced-06020e50a936,21,Foul Won,16149,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,True,False
13ce5564-b9dc-4249-98c9-890d392cb430,21,Foul Won,16120,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
989e9d08-13d3-4aaa-9724-8b8908089176,21,Foul Won,16095,2018/2019,La Liga,Barcelona,Ousmane Dembélé,False,False,False
7c543447-b5ad-4547-9424-c21181a5817a,21,Foul Won,3773369,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,True,False
22b5f51c-7cee-483a-a637-a79133aa4ceb,21,Foul Won,303600,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,False,False,False
cd5b193e-d455-498c-a1bd-c65a8821ac4e,21,Foul Won,3773565,2020/2021,La Liga,Barcelona,Antoine Griezmann,False,False,False
7425aa98-a438-4f89-898f-163d95d73ceb,21,Foul Won,3749117,2003/2004,Premier League,Everton,Tony Hibbert,True,False,False
d4112031-acea-4c4e-8004-ce9a300163bd,21,Foul Won,15978,2018/2019,La Liga,Real Sociedad,Aritz Elustondo Irribaria,False,False,False
ad8bdb3f-05e1-4c9e-b7b5-2af6ae68d112,21,Foul Won,16265,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
2ce15029-0c27-4160-ae42-2823fd37d330,21,Foul Won,3749462,2003/2004,Premier League,Arsenal,Ashley Cole,True,False,False
fff2ccc5-4f4c-4999-8c9e-fd3ffab8bc13,21,Foul Won,16231,2018/2019,La Liga,Espanyol,Borja Iglesias Quintas,False,False,False
ef89afe5-ec2b-4bc4-b1bd-c26b37c06794,21,Foul Won,3749360,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,False,False,False
5c2d9dfe-005f-42c4-90dc-2abc55655d38,21,Foul Won,303652,2019/2020,La Liga,Espanyol,Javier López Rodríguez,False,False,False
