event_id,id,name,match_id,season,competition,team,player,pos_id,pos_name,technique_id,technique_name,body_id,body_name,outcome_id,outcome_name
6ff96800-ead2-4830-a164-c9a2df7ee8b6,23,Goal Keeper,303504,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,44,Set,46,Standing,,,55,No Touch
d953d516-5e6e-4214-b898-919889e6d478,23,Goal Keeper,3749253,2003/2004,Premier League,Liverpool,Jerzy Dudek,44,Set,45,Diving,,,55,No Touch
06ac104f-ff70-43b1-8ef3-f582a9ee56b6,23,Goal Keeper,303516,2019/2020,La Liga,Celta Vigo,Rubén Blanco Veiga,44,Set,45,Diving,,,55,No Touch
76b114ba-f0ba-4d3a-bf22-c708c97900de,23,Goal Keeper,3773571,2020/2021,La Liga,Real Valladolid,Jordi Masip López,,,,,35,Both Hands,48,Clear
ad5819b4-8680-4170-8ad5-6741125e2035,23,Goal Keeper,3749133,2003/2004,Premier League,Aston Villa,Thomas Løvendahl Sørensen,44,Set,46,Standing,35,Both Hands,15,Success
06b288a9-55e3-40aa-b4e3-36b4d3ed90af,23,Goal Keeper,3749552,2003/2004,Premier League,Arsenal,Jens Lehmann,42,Moving,,,,,,
7b755235-7e72-419f-b1b6-bb3921087fa0,23,Goal Keeper,3749462,2003/2004,Premier League,Birmingham City,Ian Bennett,44,Set,,,,,,
52106318-5617-4033-be10-13936785a42d,23,Goal Keeper,3773387,2020/2021,La Liga,Levante UD,Aitor Fernández Abarisketa,,,,,,,47,Claim
eee0bbbc-57f6-4293-9125-ee3f8dcfc439,23,Goal Keeper,3749274,2003/2004,Premier League,Arsenal,Jens Lehmann,,,,,38,Left Foot,48,Clear
210f96c1-0b06-47ad-b870-ca54e4e665ba,23,Goal Keeper,16173,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
5ca5228e-7bfd-42e4-97cc-63c00417b98c,23,Goal Keeper,3749431,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,,,,,,
0713956b-a806-4d26-9b4c-72fbb350b03b,23,Goal Keeper,303596,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
398df580-02bc-4ba9-943a-91f99bf6801b,23,Goal Keeper,3749642,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,,,,,,
0718f690-739e-42cf-86da-1231fdecdbd3,23,Goal Keeper,3773586,2020/2021,La Liga,Granada,Aarón Escandell Banacloche,44,Set,46,Standing,40,Right Foot,59,Touched Out
bf4bafae-68db-4ee2-bb17-e174b70aaf95,23,Goal Keeper,3773661,2020/2021,La Liga,Getafe,David Soria Solís,44,Set,,,,,,
ce4cc181-7a40-44b7-bd9c-2e580069cdbd,23,Goal Keeper,16109,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
6819e4a7-a212-42c7-bbc2-ec10e305d6a6,23,Goal Keeper,3773660,2020/2021,La Liga,Levante UD,Aitor Fernández Abarisketa,44,Set,,,,,,
1688ebe7-6ec5-4d0f-a010-277eadd3da92,23,Goal Keeper,3749522,2003/2004,Premier League,Wolverhampton Wanderers,Michael Oakes,44,Set,,,,,,
6a79edce-1b71-47e1-9445-82dc0a9d9d8a,23,Goal Keeper,15978,2018/2019,La Liga,Real Sociedad,Gerónimo Rulli,,,,,,,15,Success
12f30500-b385-4d1b-98d7-c6a1be02dd3d,23,Goal Keeper,3773386,2020/2021,La Liga,Deportivo Alavés,Fernando Pacheco Flores,44,Set,,,,,,
8b538604-0870-4322-b503-02b11507e0dc,23,Goal Keeper,3773547,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
25374331-c46f-4c75-94f2-3c45faf024e5,23,Goal Keeper,303725,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
