event_id,id,name,match_id,season,competition,team,player,aerial_won,body_id,body_name
ccffad3a-33c1-44fa-af79-d2c714ab1dec,9,Clearance,3749108,2003/2004,Premier League,Aston Villa,Jlloyd Tafari Samuel,False,37,Head
78cc018c-951e-40ce-a0ee-3a3d5e615aae,9,Clearance,303377,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,False,40,Right Foot
ea6ab8b9-6291-4c0c-b659-195ee3a96b49,9,Clearance,3773565,2020/2021,La Liga,Barcelona,Antoine Griezmann,True,37,Head
3efcc5ce-f516-422b-bff7-671219daa791,9,Clearance,3749257,2003/2004,Premier League,Leicester City,Nikos Dabizas,False,37,Head
63b2fbd8-20dc-43b7-986a-b5c858a66f9f,9,Clearance,303600,2019/2020,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,37,Head
45da97c3-d04f-4476-b21d-a739ffede49f,9,Clearance,16289,2018/2019,La Liga,Levante UD,Rúben Miguel Nunes Vezo,False,40,Right Foot
c1b655b0-c966-4ef9-b799-c1cdfe169ea5,9,Clearance,3773552,2020/2021,La Liga,Huesca,Dimitrios Siovas,False,40,Right Foot
bbb953cf-1ead-4a74-a6e4-5d9e3a9b44b3,9,Clearance,3773466,2020/2021,La Liga,Celta Vigo,Renato Fabrizio Tapia Cortijo,False,37,Head
301524d9-52d1-4f78-9487-02eca60e16cf,9,Clearance,16157,2018/2019,La Liga,Valencia,Gabriel Armando de Abreu,False,40,Right Foot
5025303b-4aa7-4fe5-8f63-0756ce0e2cda,9,Clearance,3773377,2020/2021,La Liga,Valencia,Daniel Wass,False,37,Head
1971e4b2-9753-49a0-8cda-c22a929f4879,9,Clearance,303493,2019/2020,La Liga,Athletic Club,Yeray Álvarez López,False,40,Right Foot
2c42f4ea-7e7d-41af-91f7-8d732a684704,9,Clearance,16073,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,False,37,Head
f4de3c14-6a27-4b3f-9252-40285f08e42c,9,Clearance,3749274,2003/2004,Premier League,Arsenal,Kolo Habib Touré,True,37,Head
112d7ec2-47f5-460f-9d9b-2c598517f339,9,Clearance,15986,2018/2019,La Liga,Girona,Pere Pons Riera,False,37,Head
69aae60f-8723-4168-83da-bc896bb76356,9,Clearance,303715,2019/2020,La Liga,Barcelona,Samuel Yves Umtiti,False,40,Right Foot
b8696e2a-06b4-4163-912e-449e0a4dc59c,9,Clearance,3749233,2003/2004,Premier League,Manchester City,Michael Tarnat,False,38,Left Foot
eb7f7d75-f4ca-46d2-ba2c-a658a797a7a9,9,Clearance,3749403,2003/2004,Premier League,Bolton Wanderers,Simon Charlton,False,40,Right Foot
