event_id,id,name,match_id,season,competition,team,player,subbed_name,outcome_id,outcome_name
ecf1af1e-9681-4999-9887-9cd5de295410,19,Substitution,3749108,2003/2004,Premier League,Arsenal,Sylvain Wiltord,Dennis Bergkamp,103,Tactical
99946315-8793-442e-8b87-045b77c4e33b,19,Substitution,3773474,2020/2021,La Liga,Barcelona,Pedro González López,Moriba Kourouma Kourouma,103,Tactical
3279ccbc-0501-4357-948f-b020a712f858,19,Substitution,3749278,2003/2004,Premier League,Bolton Wanderers,Kevin Nolan,Henrik Pedersen,103,Tactical
c0345319-8ce1-4c26-8e21-6bafa5511ff4,19,Substitution,16079,2018/2019,La Liga,Villarreal,Santiago Cazorla González,Daniel Raba Antolín,103,Tactical
1c6b6fdd-1fc1-457d-b0ad-a11c872608ea,19,Substitution,3773474,2020/2021,La Liga,Real Valladolid,Sergio Guardiola Navarro,Marcos André de Sousa Mendonça,103,Tactical
d59b756c-8be6-46cf-8aa5-1e9df7098025,19,Substitution,16120,2018/2019,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,Sergio Busquets i Burgos,103,Tactical
8d428f57-3e85-4bd5-a6f6-b8d066572760,19,Substitution,15978,2018/2019,La Liga,Real Sociedad,Asier Illarramendi Andonegi,Mikel Merino Zazón,103,Tactical
5d340676-35c9-4310-88ed-8dbb6ead8102,19,Substitution,16157,2018/2019,La Liga,Valencia,Francis Joseph Coquelin,Geoffrey Kondogbia,103,Tactical
16d00c4d-2be7-4cb9-9680-1756601137dd,19,Substitution,303664,2019/2020,La Liga,Real Sociedad,Cristian Portugués Manzanera,Adnan Januzaj,103,Tactical
df31b510-971b-43c3-8cf1-6cd461262c9a,19,Substitution,15978,2018/2019,La Liga,Real Sociedad,Rubén Pardo Gutiérrez,Luca Sangalli Fuentes,103,Tactical
aae60051-7c2a-456d-9e41-e96bbaab115d,19,Substitution,16289,2018/2019,La Liga,Levante UD,Rubén Rochina Naixes,Roger Martí Salvador,103,Tactical
07f3efcf-00db-4fe9-9129-ef1522e67892,19,Substitution,3749108,2003/2004,Premier League,Aston Villa,Mark Kinsella,Darius Vassell,103,Tactical
2832b691-2fbd-487e-8890-6653c88a5cb6,19,Substitution,3773387,2020/2021,La Liga,Levante UD,Jorge Miramón Santagertrudis,Jorge Andújar Moreno,103,Tactical
54305cb5-cfd0-4171-b855-316251a36eca,19,Substitution,3749528,2003/2004,Premier League,Arsenal,Ashley Cole,Pascal Cygan,103,Tactical
cf365c57-d0bb-470d-8256-eb2dfc57100f,19,Substitution,16289,2018/2019,La Liga,Barcelona,Ousmane Dembélé,Sergi Roberto Carnicer,103,Tactical
3c7050f3-e78f-4941-8953-d892aa7c423d,19,Substitution,3749590,2003/2004,Premier League,Leicester City,Marcus Bent,Paul Dickov,103,Tactical
58a0e0a3-4479-42a2-8f7b-c885e0b17139,19,Substitution,303532,2019/2020,La Liga,Leganés,José Luis García del Pozo,Bryan Gil Salvatierra,103,Tactical
cd53ad04-e7e6-4d56-89e6-b6c58cb89cbd,19,Substitution,3773656,2020/2021,La Liga,Atlético Madrid,Yannick Ferreira Carrasco,Felipe Augusto de Almeida Monteiro,103,Tactical
8e27a81c-39d3-499a-bab8-8e4128dc8431,19,Substitution,3773387,2020/2021,La Liga,Levante UD,Roger Martí Salvador,Sergio León Limones,103,Tactical
5fcef0df-b3e4-4e0c-9a04-11ffc5efbc8d,19,Substitution,3749590,2003/2004,Premier League,Arsenal,Jérémie Aliadière,Sylvain Wiltord,103,Tactical
8158ce08-601a-41aa-af87-da67f9ad1b21,19,Substitution,3773631,2020/2021,La Liga,Barcelona,Sergio Busquets i Burgos,Samuel Yves Umtiti,103,Tactical
