event_id,id,name,match_id,season,competition,team,player,overrun,nutmeg,outcome_id,outcome_name,no_touch
55fbf5e7-0be9-4f0e-a5ea-9371ac8115fc,14,Dribble,16231,2018/2019,La Liga,Barcelona,Nélson Cabral Semedo,False,False,8,Complete,False
94e525d7-6329-47a3-a7da-e45a0cb28f64,14,Dribble,3773585,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,9,Incomplete,False
ed41bed7-7a8e-43e5-b9bc-5550b22895f8,14,Dribble,3749108,2003/2004,Premier League,Arsenal,Thierry Henry,False,True,8,Complete,False
8934dfb0-ec9a-462a-b81e-c4389f513876,14,Dribble,303696,2019/2020,La Liga,Atlético Madrid,Diego da Silva Costa,False,False,8,Complete,False
0d0ed57f-98da-4388-8b32-d1472f66ab68,14,Dribble,303470,2019/2020,La Liga,Real Madrid,Karim Benzema,False,False,8,Complete,False
ddd7fe7e-6d11-41b0-b1fb-992a3e8e8756,14,Dribble,3773586,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,9,Incomplete,False
a4608b9d-4a64-4261-8e6e-5d741a6007cf,14,Dribble,16248,2018/2019,La Liga,Barcelona,Malcom Filipe Silva de Oliveira,False,False,8,Complete,False
8010843e-14dc-42f6-abd2-82b71c6ab60f,14,Dribble,3749462,2003/2004,Premier League,Arsenal,Thierry Henry,False,False,8,Complete,False
abadc2b4-27a6-4c6f-91ae-263032429b4e,14,Dribble,303451,2019/2020,La Liga,Mallorca,Francisco Gámez López,True,True,9,Incomplete,False
ecb9d87b-4ec2-4e91-b3ef-274020ad08f0,14,Dribble,15973,2018/2019,La Liga,Huesca,Damián Marcelo Musto,False,False,9,Incomplete,False
70b6ba4e-7d32-411c-baf2-8935e5a4cc8a,14,Dribble,3749079,2003/2004,Premier League,Arsenal,Robert Pirès,False,False,9,Incomplete,False
4f0c238b-a11e-46fd-8549-9267b9d2f39e,14,Dribble,3773457,2020/2021,La Liga,Celta Vigo,Aarón Martín Caricol,False,False,9,Incomplete,False
16bc0498-32fb-49ca-ba31-4f97fd116182,14,Dribble,3749642,2003/2004,Premier League,Arsenal,Thierry Henry,False,False,8,Complete,False
a7bb182f-7043-492d-bdd3-55076a69bbf5,14,Dribble,3773428,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,8,Complete,False
6407f852-bf12-4ee0-85dc-1e5048c482d2,14,Dribble,16109,2018/2019,La Liga,Barcelona,Ousmane Dembélé,False,False,9,Incomplete,False
