event_id,id,name,match_id,season,competition,team,player,offensive,failure
8835b06b-f38e-456d-87b8-d4c7c3f29c4c,2,Ball Recovery,3749522,2003/2004,Premier League,Arsenal,Pascal Cygan,False,False
965ab4d3-5576-4043-ad44-a0695076b1c5,2,Ball Recovery,303377,2019/2020,La Liga,Barcelona,Anssumane Fati,False,False
d7aa0211-9b65-4102-8c94-1a28090880e7,2,Ball Recovery,16095,2018/2019,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo,False,False
7f8bc4b9-c241-4473-8b39-5e74c7f55567,2,Ball Recovery,3749431,2003/2004,Premier League,Newcastle United,Jermaine Jenas,False,False
d570fcfe-3c0d-416c-a90c-d72b114cc56f,2,Ball Recovery,3773625,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,False,False
02381cc5-1764-43b4-899c-cda9160d28c7,2,Ball Recovery,303610,2019/2020,La Liga,Granada,Darwin Daniel Machís Marcano,False,False
ef73a710-193d-476b-adbe-593b99033d77,2,Ball Recovery,3773457,2020/2021,La Liga,Barcelona,Moriba Kourouma Kourouma,False,False
124f1ef1-26f4-4bf6-9388-6f3882df4780,2,Ball Recovery,3773665,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,False,False
6342066d-abcf-4467-a765-de3dc388e0b6,2,Ball Recovery,16205,2018/2019,La Liga,Rayo Vallecano,Santiago Comesaña Veiga,False,False
7c1ea680-fe7f-4a5a-843c-862df8e1ac93,2,Ball Recovery,3764661,2020/2021,La Liga,Athletic Club,Unai Vencedor Paris,False,False
2602dfbb-f608-4807-9a52-514c062889c3,2,Ball Recovery,16240,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,False
cf71d765-d682-44b1-815c-c2452ca59c5e,2,Ball Recovery,3749133,2003/2004,Premier League,Arsenal,Thierry Henry,False,False
e770d082-f30b-45f7-af85-157932bc4298,2,Ball Recovery,303504,2019/2020,La Liga,Barcelona,Clément Lenglet,False,False
874b3d9e-12c9-4184-bded-18d1dc377989,2,Ball Recovery,303493,2019/2020,La Liga,Athletic Club,Oihan Sancet Tirapu,False,False
bb703826-6f93-4b7a-bc2a-fdda485f36bf,2,Ball Recovery,303493,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,False,False
795fe0d3-d185-4a16-8fdc-2c3af27d2e42,2,Ball Recovery,16023,2018/2019,La Liga,Valencia,Michy Batshuayi Tunga,False,False
b80f9bbd-31ba-47be-a62a-7b0377cd74e2,2,Ball Recovery,15946,2018/2019,La Liga,Deportivo Alavés,Fernando Pacheco Flores,False,False
1509c259-3785-43c0-911a-6d29665eca13,2,Ball Recovery,3749358,2003/2004,Premier League,Arsenal,Ashley Cole,False,False
53af2cfb-fe64-4ce0-ac25-bb6734eb123b,2,Ball Recovery,303680,2019/2020,La Liga,Real Valladolid,Joaquín Fernández Moreno,False,False
a71cc722-52c5-4fb5-9183-00c9583e5942,2,Ball Recovery,303666,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,False,False
cdff33f4-6622-45e9-a2ac-8f687f293386,2,Ball Recovery,3749465,2003/2004,Premier League,Arsenal,Eduardo César Daude Gaspar,False,False
38f11426-077f-44cb-94ea-58bf381cf9e9,2,Ball Recovery,3773369,2020/2021,La Liga,Huesca,David Ferreiro Quiroga,False,True
9c9f2a69-ad32-4f24-8a88-3aab39f6c565,2,Ball Recovery,3773474,2020/2021,La Liga,Barcelona,Frenkie de Jong,False,False
ea3d8374-0326-4024-a19a-7fa271aa220d,2,Ball Recovery,303610,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,False,False
f5fe636e-5fec-479a-b9ec-d371d61602a9,2,Ball Recovery,3773466,2020/2021,La Liga,Celta Vigo,José Manuel Fontán Mondragón,False,False
5719ba72-5c6e-484a-b535-756b09c13386,2,Ball Recovery,16317,2018/2019,La Liga,Barcelona,Jasper Cillessen,False,False
37a9633a-546d-4477-ab6d-eefe9858d4ee,2,Ball Recovery,3749079,2003/2004,Premier League,Arsenal,Ashley Cole,False,False
